design,procedure,participant,period,position,posture,support,precision,recall,f1
grouped_repetitions,all10_default,P03,all_rows,2,Left arm raise,1201,0.5089605734767025,0.23646960865945046,0.3229107447413303
grouped_repetitions,all10_default,P03,all_rows,3,Right arm raise,1198,0.40380549682875266,0.31886477462437396,0.3563432835820896
grouped_repetitions,all10_default,P03,all_rows,4,Left shoulder touch and twist,1197,0.2724358974358974,0.28404344193817876,0.278118609406953
grouped_repetitions,all10_default,P03,all_rows,5,Right shoulder touch and twist,1201,0.24058919803600654,0.12239800166527894,0.1622516556291391
grouped_repetitions,all10_default,P03,all_rows,6,Both arms raise,1200,0.5562403697996918,0.30083333333333334,0.39048134126554895
grouped_repetitions,all10_default,P03,all_rows,7,Forward bend,1198,0.4732620320855615,0.29549248747913187,0.36382322713257964
grouped_repetitions,all10_default,P03,all_rows,8,Sitting,1199,0.39791666666666664,0.31859883236030023,0.35386753126447423
grouped_repetitions,all10_default,P03,held_only,1,Standing straight,7006,0.4988179669030733,0.6926919783043106,0.5799820734986555
grouped_repetitions,all10_default,P03,held_only,2,Left arm raise,998,0.667458432304038,0.281563126252505,0.3960535588442565
grouped_repetitions,all10_default,P03,held_only,3,Right arm raise,997,0.5102639296187683,0.34904714142427284,0.41453245979749853
grouped_repetitions,all10_default,P03,held_only,4,Left shoulder touch and twist,999,0.2725430597771023,0.26926926926926925,0.27089627391742194
grouped_repetitions,all10_default,P03,held_only,5,Right shoulder touch and twist,1002,0.37595907928388744,0.1467065868263473,0.21105527638190957
grouped_repetitions,all10_default,P03,held_only,6,Both arms raise,1004,0.6629001883239172,0.350597609561753,0.45863192182410434
grouped_repetitions,all10_default,P03,held_only,7,Forward bend,1002,0.6080305927342257,0.31736526946107785,0.41704918032786886
grouped_repetitions,all10_default,P03,held_only,8,Sitting,1002,0.39544235924932974,0.2944111776447106,0.3375286041189931
grouped_repetitions,all10_tuned,Pooled,all_rows,1,Standing straight,25486,0.4883819180397127,0.36286588715373147,0.4163702669848273
grouped_repetitions,all10_tuned,Pooled,all_rows,2,Left arm raise,3624,0.5209055680195799,0.7047461368653422,0.599038348774481
grouped_repetitions,all10_tuned,Pooled,all_rows,3,Right arm raise,3598,0.41616526273565985,0.5767092829349638,0.48345759552656103
grouped_repetitions,all10_tuned,Pooled,all_rows,4,Left shoulder touch and twist,3593,0.3816261082814563,0.5630392429724465,0.4549134247807511
